記事URL,会社名,担当者名,メールアドレス,電話番号,信頼度,抽出元
https://prtimes.jp/main/html/rd/p/000000592.000001551.html,株式会社インテージホールディングス,担当　深谷,ihc-ch-magazine@intage.com,03-5294-8393,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000549.000003563.html,ジュピターショップチャンネル株式会社,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000364.000085143.html,アステナホールディングス株式会社,者の連絡先や,,0120-040-562,0.87,"company:0.95, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000001537.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000067.000134543.html,株式会社グラフィック,者の連絡先や,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000170.000037149.html,アジャイルメディア・ネットワーク株式会社,の効果測定は,info@agilemedia.jp,03-6435-7130,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000011.000123469.html,株式会社フランスダイレクト,の効果測定は,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000001515.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000001514.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000055.000038100.html,株式会社ウエルネス・ラボ,の効果測定は,r-yamatoji@wellnesslab.co.jp,045-222-3838,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000056.000038100.html,株式会社ウエルネス・ラボ,の効果測定は,r-yamatoji@wellnesslab.co.jp,045-222-3838,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000096.000010318.html,株式会社ビタブリッドジャパン,の効果測定は,,,0.82,"company:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000008.000107917.html,一般社団法人 日本オートファジーコンソーシアム,の効果測定は,,,0.82,"company:0.85, person:0.70"
https://prtimes.jp/main/html/rd/p/000001536.000006302.html,H1GLOBAL株式会社,の効果測定は,info@malulani.tv,03-6433-5723,0.88,"company:0.95, email:0.90, phone:0.95, person:0.70"
https://prtimes.jp/main/html/rd/p/000000048.000072040.html,マックス株式会社,者の連絡先や,,,0.82,"company:0.95, person:0.70"
